ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;2070;REGINA CARMELI;Scuola primaria;Ente religioso;SI;Via MONVISO 33;7212;8;69;SARPI;9.17022426015;45.4859593854;(45.4859593854, 9.17022426015)
1415;2071;FERRANTE APORTI;Scuola primaria;Statale;No;Via ANDREA MANTEGNA 10;7203;8;69;SARPI;9.16798551114;45.4835270187;(45.4835270187, 9.16798551114)
1415;2072;GIUSEPPE GIUSTI - SANTA CHIARA D'ASSISI;Scuola primaria;Statale;No;Via GIUSEPPE GIUSTI 15;7127;1;69;SARPI;9.1768852608;45.4800707888;(45.4800707888, 9.1768852608)
1415;2073;GIOVANNI PASCOLI;Scuola primaria;Statale;No;Via GIOVANNI RASORI 19;6190;7;68;PAGANO;9.16132273273;45.4677386594;(45.4677386594, 9.16132273273)
1415;2074;LEONE TOLSTOJ;Scuola primaria;Statale;No;Via ZUARA 9;6126;6;52;BANDE NERE;9.14941894489;45.4568805755;(45.4568805755, 9.14941894489)
1415;2076;LEONE XIII;Scuola primaria;Ente religioso;SI;Via LEONE TREDICESIMO 12;6353;8;68;PAGANO;9.16319276643;45.474263479;(45.474263479, 9.16319276643)
1415;2077;GIACOMO LEOPARDI;Scuola primaria;Statale;No;Viale LUIGI BODIO 22;1237;9;77;BOVISA;9.16859258722;45.4976409796;(45.4976409796, 9.16859258722)
1415;2078;SANTA GEMMA CALGANI;Scuola primaria;Ente religioso;SI;Via FILIPPO BALDINUCCI 88;1267;9;77;BOVISA;9.16737303888;45.5029850581;(45.5029850581, 9.16737303888)
1415;2080;MARIE CURIE;Scuola primaria;Statale;No;Via DIEGO GUICCIARDI 1;1244;9;79;DERGANO;9.17346811617;45.5012994661;(45.5012994661, 9.17346811617)
1415;2081;RAFFAELLO LAMBRUSCHINI - CATERINA CYBO;Scuola primaria;Statale;No;Via BENIGNO CRESPI 1;1313;9;79;DERGANO;9.18602238398;45.4985724369;(45.4985724369, 9.18602238398)
1415;2082;Gabbro  ;Scuola primaria;Statale;No;Via GABBRO 6;1674;9;81;BOVISASCA;9.15928350942;45.5145890563;(45.5145890563, 9.15928350942)
1415;2083;FRANCESCO CARACCIOLO;Scuola primaria;Statale;No;Via ISEO 7;1571;9;80;AFFORI;9.17387472331;45.5200517081;(45.5200517081, 9.17387472331)
1415;2084;CESARE CANTU';Scuola primaria;Statale;No;Via DEI BRASCHI 12;1661;9;83;BRUZZANO;9.17667963373;45.526420905;(45.526420905, 9.17667963373)
1415;2085;ANNA FRANK;Scuola primaria;Statale;No;Via DORA BALTEA 16;1687;9;83;BRUZZANO;9.1682253739;45.5279373174;(45.5279373174, 9.1682253739)
1415;2086;SORELLE AGAZZI;Scuola primaria;Statale;No;Piazza PIETRO GASPARRI 6;1647;9;82;COMASINA;9.16185920122;45.5258933793;(45.5258933793, 9.16185920122)
1415;2088;COR JESU;Scuola primaria;Ente religioso;SI;Via TEANO 21;1632;9;82;COMASINA;9.16148183604;45.528165543;(45.528165543, 9.16148183604)
1415;2089;DON ORIONE;Scuola primaria;Statale;No;Via FABRIANO 4;1642;9;80;AFFORI;9.17515981363;45.5154816854;(45.5154816854, 9.17515981363)
1415;2090;ITALO CALVINO;Scuola primaria;Statale;No;Via VITTORIO SCIALOIA 19;1086;9;80;AFFORI;9.17947807539;45.5091786034;(45.5091786034, 9.17947807539)
1415;2091;SANDRO PERTINI;Scuola primaria;Statale;No;Via THOMAS MANN 8;1701;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.20860015524;45.5239627662;(45.5239627662, 9.20860015524)
1415;2094;MARIA IMMACOLATA;Scuola primaria;Ente religioso;SI;Viale GIOVANNI SUZZANI 64;1446;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19905107275;45.5084231578;(45.5084231578, 9.19905107275)
1415;2095;GIAN BATTISTA PIRELLI;Scuola primaria;Statale;No;Via GOFFREDO DA BUSSERO 9;1618;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.20598553674;45.5188400274;(45.5188400274, 9.20598553674)
1415;2096;CARLO POERIO;Scuola primaria;Statale;No;Via SALVATORE PIANELL 40;1426;9;13;GRECO - SEGNANO;9.2034295414;45.5078992324;(45.5078992324, 9.2034295414)
1415;2097;VITTORIO LOCCHI;Scuola primaria;Statale;No;Via GIAN BATTISTA PASSERINI 4;1589;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19340327293;45.5155144427;(45.5155144427, 9.19340327293)
1415;2098;DUCA DEGLI ABRUZZI;Scuola primaria;Statale;No;Via ANTONIO CESARI 38;1603;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.18600908532;45.5195042393;(45.5195042393, 9.18600908532)
1415;2099;RICCI ACHILLE;Scuola primaria;Ente privato laico;SI;Via CAMILLO SBARBARO 11;1712;9;84;PARCO NORD;9.18218601178;45.5171750965;(45.5171750965, 9.18218601178)
1415;2100;Carnovali;Scuola primaria;Statale;No;Via GIOVANNI CARNOVALI 19;2614;2;16;GORLA - PRECOTTO;9.23008516009;45.5129410136;(45.5129410136, 9.23008516009)
1415;2101;MARTIRI DI GORLA;Scuola primaria;Statale;No;Via ANDREA CESALPINO 38;2467;2;16;GORLA - PRECOTTO;9.23229058789;45.5076174216;(45.5076174216, 9.23229058789)
1415;2102;VITTORIO BOTTEGO;Scuola primaria;Statale;No;Via SAN MAMETE 11;2413;2;17;ADRIANO;9.24811954639;45.5109725364;(45.5109725364, 9.24811954639)
1415;2103;CASA DEL SOLE;Scuola primaria;Statale;No;Via GIUSEPPE GIACOSA 46;2310;2;20;LORETO - CASORETTO - NOLO;9.2216432494;45.4948406682;(45.4948406682, 9.2216432494)
1415;2104;Sant'Uguzzone;Scuola primaria;Statale;No;Via SANT'UGUZZONE 10;2448;2;16;GORLA - PRECOTTO;9.22555279207;45.520721335;(45.520721335, 9.22555279207)
1415;2105;Mattei Gianfranco, 12 ;Scuola primaria;Statale;No;Via GIANFRANCO MATTEI 12;2632;2;16;GORLA - PRECOTTO;9.22305939403;45.5144490529;(45.5144490529, 9.22305939403)
1415;2106;VINCENZO RUSSO - ELEONORA PIMENTEL;Scuola primaria;Statale;No;Via VINCENZO RUSSO 27;2328;2;19;PADOVA - TURRO - CRESCENZAGO;9.22820839261;45.4978400305;(45.4978400305, 9.22820839261)
1415;2107;TEODORO CIRESOLA;Scuola primaria;Statale;No;Via GIULIO E CORRADO VENINI 80;2258;2;20;LORETO - CASORETTO - NOLO;9.2172409745;45.4948060834;(45.4948060834, 9.2172409745)
1415;2108;FRANCESCO CRISPI;Scuola primaria;Statale;No;Via SANT'ERLEMBALDO 4;2356;2;16;GORLA - PRECOTTO;9.2204418605;45.5054932355;(45.5054932355, 9.2204418605)
1415;2109;GIANBATTISTA PERASSO;Scuola primaria;Statale;No;Via VITTORIO BOTTEGO 4;2521;2;19;PADOVA - TURRO - CRESCENZAGO;9.24382602514;45.5036222151;(45.5036222151, 9.24382602514)
1415;2110;SAN GIUSEPPE;Scuola primaria;Ente religioso;SI;Via SAN GIOVANNI BATTISTA DE LA SALLE 5;2514;2;19;PADOVA - TURRO - CRESCENZAGO;9.24158759144;45.502520912;(45.502520912, 9.24158759144)
1415;2111;PREZIOSISSIMO SANGUE;Scuola primaria;Ente religioso;SI;Via PADRE PLACIDO RICCARDI 5;2385;2;19;PADOVA - TURRO - CRESCENZAGO;9.23897213571;45.5014364398;(45.5014364398, 9.23897213571)
1415;2112;VERONICA GAMBARA;Scuola primaria;Statale;No;Viale BRIANZA 14;2263;2;20;LORETO - CASORETTO - NOLO;9.2135117219;45.4876070857;(45.4876070857, 9.2135117219)
1415;2113;MARIA CONSOLATRICE;Scuola primaria;Ente religioso;SI;Viale CORSICA 82;3262;4;25;CORSICA;9.23416879627;45.4619523269;(45.4619523269, 9.23416879627)
1415;2114;SALVATORE QUASIMODO;Scuola primaria;Statale;No;Via CARDINALE GIUSEPPE MEZZOFANTI 25;3277;4;25;CORSICA;9.2349577776;45.4648152358;(45.4648152358, 9.2349577776)
1415;2115;FAES MONFORTE - SCUOLA PRIMARIA FEMMINILE;Scuola primaria;Ente privato laico;SI;Via GIOVANNI ANTONIO AMADEO 11;3228;3;22;CITTA' STUDI;9.23170220306;45.4710772144;(45.4710772144, 9.23170220306)
1415;2116;SAN GIUSEPPE;Scuola primaria;Ente religioso;SI;Via ANTONIO BAZZINI 10;2427;3;22;CITTA' STUDI;9.22526156904;45.4817951575;(45.4817951575, 9.22526156904)
1415;2118;LEONARDO DA VINCI;Scuola primaria;Statale;No;Piazza LEONARDO DA VINCI 2;2208;3;22;CITTA' STUDI;9.22442627596;45.4775896255;(45.4775896255, 9.22442627596)
1415;2119;CINQUE GIORNATE;Scuola primaria;Statale;No;Viale MUGELLO 5;3140;4;26;XXII MARZO;9.22353512205;45.4612225027;(45.4612225027, 9.22353512205)
1415;2120;TITO SPERI;Scuola primaria;Statale;No;Via NICOLA ANTONIO PORPORA 11;2229;3;20;LORETO - CASORETTO - NOLO;9.2206087567;45.486124283;(45.486124283, 9.2206087567)
1415;2121;CASA DEI BAMBINI MONTESSORI;Scuola primaria;Ente privato laico;SI;Piazza SAN GEROLAMO 6;3316;4;25;CORSICA;9.23683560869;45.4693991904;(45.4693991904, 9.23683560869)
1415;2123;NOLLI - ARQUATI;Scuola primaria;Statale;No;Viale ROMAGNA 16;3102;3;22;CITTA' STUDI;9.22411783761;45.4703048746;(45.4703048746, 9.22411783761)
1415;2125;ROSSELLO GIUSEPPA;Scuola primaria;Ente religioso;SI;Via CARLO GOLDONI 68;3183;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2204083758;45.4692415088;(45.4692415088, 9.2204083758)
1415;2126;PIER FRANCO BONETTI;Scuola primaria;Statale;No;Via FILIPPO TAJANI 12;3235;3;22;CITTA' STUDI;9.23683386326;45.4725654584;(45.4725654584, 9.23683386326)
1415;2127;RUDOLF STEINER;Scuola primaria;Ente privato laico;SI;Via CELESTE CLERICETTI 45;2221;3;22;CITTA' STUDI;9.23527388128;45.4794949543;(45.4794949543, 9.23527388128)
1415;2129;FONDAZIONE SACRO CUORE;Scuola primaria;Ente religioso;SI;Via ROMBON 78;2659;3;23;LAMBRATE - ORTICA;9.25215457923;45.4861791706;(45.4861791706, 9.25215457923)
1415;2130;ENRICO TOTI;Scuola primaria;Statale;No;Via OTTO E CAMILLO CIMA 15;2690;3;23;LAMBRATE - ORTICA;9.24734360052;45.4718995952;(45.4718995952, 9.24734360052)
1415;2131;ELSA MORANTE;Scuola primaria;Statale;No;Via TOMMASO PINI 3;2634;3;23;LAMBRATE - ORTICA;9.24037984426;45.4854077904;(45.4854077904, 9.24037984426)
1415;2132;MARIA MATER MEA;Scuola primaria;Ente religioso;SI;Via PUSIANO 57;2397;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.24644038852;45.5005381429;(45.5005381429, 9.24644038852)
1415;2134;BRUNO MUNARI;Scuola primaria;Statale;No;  68;;;18;CIMIANO - ROTTOLE - Q.RE FELTRE;;;
1415;2135;ENRICO FERMI;Scuola primaria;Statale;No;Via CARNIA 32;2395;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.23598934089;45.4950817175;(45.4950817175, 9.23598934089)
1415;2138;DECORATI AL VALOR CIVILE;Scuola primaria;Statale;No;Via DECORATI AL VALOR CIVILE 10;3366;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.24134418123;45.4604996107;(45.4604996107, 9.24134418123)
1415;2139;GEREMIA MELERI;Scuola primaria;Statale;No;Via GEREMIA MELERI 14;3350;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.2475222889;45.4565779756;(45.4565779756, 9.2475222889)
1415;2140;MADRE TERESA DI CALCUTTA;Scuola primaria;Statale;No;Largo ANSELMO GUERRIERI GONZAGA 4;3371;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.25173723183;45.4450135445;(45.4450135445, 9.25173723183)
1415;2141;SAN GIOVANNI BOSCO;Scuola primaria;Statale;No;Via LUIGI SORDELLO 7;3342;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.2457293531;45.443935696;(45.443935696, 9.2457293531)
1415;2142;Ucelli Di Nemi;Scuola primaria;Statale;No;Via GUIDO UCELLI DI NEMI 54;3375;4;31;MONLUE' - PONTE LAMBRO;9.26405977651;45.4378133263;(45.4378133263, 9.26405977651)
1415;2143;MARCELLO CANDIA;Scuola primaria;Statale;No;Via POLESINE 12;4159;4;35;LODI - CORVETTO;9.22265955929;45.4391678682;(45.4391678682, 9.22265955929)
1415;2144;MARCELLO CANDIA;Scuola primaria;Statale;No;Via VALLARSA 19;4142;5;36;SCALO ROMANA;9.21004173298;45.4425965692;(45.4425965692, 9.21004173298)
1415;2147;FABIO FILZI;Scuola primaria;Statale;No;Via RAVENNA 15;4281;4;35;LODI - CORVETTO;9.22124151561;45.4340948494;(45.4340948494, 9.22124151561)
1415;2148;Bognetti;Scuola primaria;Statale;No;Via DEI BOGNETTI 15;4246;5;37;MORIVIONE;9.18993992436;45.4380896962;(45.4380896962, 9.18993992436)
1415;2149;DAMIANO CHIESA;Scuola primaria;Statale;No;Via GIACOMO ANTONINI 50;4250;5;38;VIGENTINO - Q.RE FATIMA;9.19496355495;45.4370792539;(45.4370792539, 9.19496355495)
1415;2150;SCUOLA EUROPA;Scuola primaria;Ente privato laico;SI;Viale LUIGI MAJNO 39;2178;1;4;GUASTALLA;9.20508111111;45.4723973053;(45.4723973053, 9.20508111111)
1415;2151;SAN VINCENZO REGINA MUNDI;Scuola primaria;Ente religioso;SI;Via CARLO BONCOMPAGNI 18;4182;4;35;LODI - CORVETTO;9.22687787269;45.440082459;(45.440082459, 9.22687787269)
1415;2152;RENZO PEZZANI;Scuola primaria;Statale;No;  34/6;;;35;LODI - CORVETTO;;;
1415;2153;Puglie;Scuola primaria;Statale;No;Viale PUGLIE 4;4100;4;35;LODI - CORVETTO;9.22447393338;45.444979417;(45.444979417, 9.22447393338)
1415;2154;PASQUALE SOTTOCORNO;Scuola primaria;Statale;No;Via MONTE PIANA 11;4364;4;33;ROGOREDO - SANTA GIULIA;9.24706646307;45.4307318535;(45.4307318535, 9.24706646307)
1415;2156;Wolf-Ferrari;Scuola primaria;Statale;No;Via ERMANNO WOLF FERRARI 6;4294;5;38;VIGENTINO - Q.RE FATIMA;9.20497221644;45.4309101052;(45.4309101052, 9.20497221644)
1415;2158;MERKOS L'INYONEI CHINUCH;Scuola primaria;Ente privato laico;SI;Via DELLE FORZE ARMATE 61;6643;7;52;BANDE NERE;9.13061727337;45.4629065269;(45.4629065269, 9.13061727337)
1415;2159;A. LIMONTA - ISTITUTO CANOSSIANE;Scuola primaria;Ente religioso;SI;Via TAGLIAMENTO 12;4147;4;35;LODI - CORVETTO;9.21275521826;45.4435424306;(45.4435424306, 9.21275521826)
1415;2160;CESARE BATTISTI;Scuola primaria;Statale;No;Via NICOLA PALMIERI 24;5323;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.17842685786;45.4348276558;(45.4348276558, 9.17842685786)
