Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
18-T121;75019;42 RUE MATHIS;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3727960004698097, 48.89134799989091], ""type"": ""Point""}";48.89134799989091,2.3727960004698097
18-T127;75019;54 BOULEVARD DE SERURIER;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.398549499810216, 48.88034099960563], ""type"": ""Point""}";48.88034099960563,2.398549499810216
E-006;75003;19 RUE DES FILLES DU CALVAIRE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.3660414994605383, 48.86284500034343], ""type"": ""Point""}";48.86284500034343,2.3660414994605383
E-028;75009;35 RUE DE PROVENCE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.338245000390154, 48.87410400030024], ""type"": ""Point""}";48.87410400030024,2.338245000390154
E-060;75013;120 BOULEVARD AUGUSTE BLANQUI;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.342681999618808, 48.83171399998409], ""type"": ""Point""}";48.83171399998409,2.342681999618808
E-067;75013;75 RUE CHEVALERET;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.376135000443867, 48.82883399959878], ""type"": ""Point""}";48.82883399959878,2.376135000443867
E-071;75014;183 AVENUE DU MAINE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.325896999526207, 48.830858999860936], ""type"": ""Point""}";48.830858999860936,2.325896999526207
E-149;75020;89 RUE DES PYRENEES;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.40544350017094, 48.85440299985587], ""type"": ""Point""}";48.85440299985587,2.40544350017094
U-010;75006;4 RUE MONTFAUCON;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;4;"{""coordinates"": [2.3357609997806787, 48.852800999597925], ""type"": ""Point""}";48.852800999597925,2.3357609997806787
U-025;75012;172 BOULEVARD DIDEROT;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.3940000003843234, 48.84801300040585], ""type"": ""Point""}";48.84801300040585,2.3940000003843234
U-027;75013;189 RUE DE TOLBIAC;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.351240999486942, 48.82576499975459], ""type"": ""Point""}";48.82576499975459,2.351240999486942
U-045;75019;35 RUE MATHIS;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;4;"{""coordinates"": [2.3727104995092243, 48.89115900037321], ""type"": ""Point""}";48.89115900037321,2.3727104995092243
U-049;75019;44 AVENUE SECRETAN;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.374470000302562, 48.88058400038455], ""type"": ""Point""}";48.88058400038455,2.374470000302562
V-004;75002;3 RUE D ALEXANDRIE;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;2;"{""coordinates"": [2.351299500383419, 48.86788499982796], ""type"": ""Point""}";48.86788499982796,2.351299500383419
15-T012;75005;16 RUE CLAUDE BERNARD;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.348190000375809, 48.839553000052994], ""type"": ""Point""}";48.839553000052994,2.348190000375809
