id_amat;id_via;num_civico;municipio;stato;categorieveicoli;numero_manufatti;stalli_per_manufatto;stalli_totali;tipomanufatto;ubicazione;LONG_X_4326;LAT_Y_4326;Location
625;4210;31;5;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.18865318605236;45.4458445693115;"(45.4458445693115, 9.18865318605236)"
626;6247;1;7;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.15680629904073;45.4679812180403;"(45.4679812180403, 9.15680629904073)"
627;6247;2;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.15659119475134;45.4681179696429;"(45.4681179696429, 9.15659119475134)"
628;2284;29;2;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.21846979065737;45.4911488731345;"(45.4911488731345, 9.21846979065737)"
629;2284;29;2;Esistente;Velocipedi;3;5;15;Verona;Marciapiede;9.21841345866224;45.4911322554538;"(45.4911322554538, 9.21841345866224)"
630;2121;30;2;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.20253780057741;45.478709123651;"(45.478709123651, 9.20253780057741)"
631;2121;35;2;Esistente;Velocipedi;5;5;25;Verona;Marciapiede;9.201195045442;45.4791298134667;"(45.4791298134667, 9.201195045442)"
632;2121;37;2;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.20077169912723;45.479374235886;"(45.479374235886, 9.20077169912723)"
633;2121;40;2;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.20122412641601;45.4793708319293;"(45.4793708319293, 9.20122412641601)"
634;2121;41;2;Esistente;Velocipedi;1;6;6;Verona;Marciapiede;9.19994655413802;45.4797515438523;"(45.4797515438523, 9.19994655413802)"
635;1053;12;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.19498505993839;45.4745006058871;"(45.4745006058871, 9.19498505993839)"
636;5137;75;6;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.1423555728052;45.4504925522233;"(45.4504925522233, 9.1423555728052)"
637;6825;2;7;Esistente;Velocipedi;2;5;10;Verona;Cortile o altro spazio collegato al civico;9.08430229938178;45.4545519497966;"(45.4545519497966, 9.08430229938178)"
638;6825;6;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.08270642057081;45.4546640057563;"(45.4546640057563, 9.08270642057081)"
639;6825;6;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.08282900310989;45.4546382579484;"(45.4546382579484, 9.08282900310989)"
640;6825;8;7;Esistente;Velocipedi;4;5;20;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.08034633621238;45.45520593074;"(45.45520593074, 9.08034633621238)"
641;6155;21;1;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.17284076794207;45.467857419322;"(45.467857419322, 9.17284076794207)"
642;6160;3;1;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.17290784170108;45.4675866280488;"(45.4675866280488, 9.17290784170108)"
643;6161;18;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.17332438272902;45.4674858738891;"(45.4674858738891, 9.17332438272902)"
644;7495;26;8;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.11971756362311;45.4973774536982;"(45.4973774536982, 9.11971756362311)"
645;6752;11;7;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.08751882528169;45.4608536588628;"(45.4608536588628, 9.08751882528169)"
646;4258;11;5;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area verde – Giardino – Parco;9.19767346629665;45.434838473156;"(45.434838473156, 9.19767346629665)"
647;6581;8;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.11233819685609;45.461405981886;"(45.461405981886, 9.11233819685609)"
648;6581;10;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.11211716959148;45.4617420138139;"(45.4617420138139, 9.11211716959148)"
649;6854;54;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.09795550122544;45.4545580707391;"(45.4545580707391, 9.09795550122544)"
650;2580;56;3;Esistente;Velocipedi;2;5;10;Redondo Inox;Cortile o altro spazio collegato al civico;9.23676234246628;45.4801728142915;"(45.4801728142915, 9.23676234246628)"
651;7290;215;8;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.13572635952809;45.5061856820529;"(45.5061856820529, 9.13572635952809)"
652;238;51;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.20192437253081;45.4715222067297;"(45.4715222067297, 9.20192437253081)"
653;238;38;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.20206948872516;45.4713437583475;"(45.4713437583475, 9.20206948872516)"
654;2227;1;3;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.23118635149078;45.4743608999869;"(45.4743608999869, 9.23118635149078)"
655;1064;;1;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.1874908825493;45.4807887262567;"(45.4807887262567, 9.1874908825493)"
656;1033;1;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.18484651648132;45.4775669798353;"(45.4775669798353, 9.18484651648132)"
659;6266;2;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15293993363494;45.4648024922538;"(45.4648024922538, 9.15293993363494)"
660;6266;2;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.15320617754638;45.4648189982638;"(45.4648189982638, 9.15320617754638)"
661;1708;60;8;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.1669561481395;45.5297185090259;"(45.5297185090259, 9.1669561481395)"
