linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
709;BUS;7285;Di;Cologno ( Don Minzoni ) - Cologno Sud M2;Canonico;5.32;12;9.26745152724272;45.5314539459385;"(45.5314539459385, 9.26745152724272)"
71;BUS;11348;As;Romolo M2 - Famagosta M2;Canonico;7.21;20;9.15985946956374;45.4332528034965;"(45.4332528034965, 9.15985946956374)"
71;BUS;11357;Di;Famagosta M2 - Romolo M2;Canonico;7.06;22;9.159878997229;45.4332187477788;"(45.4332187477788, 9.159878997229)"
713;BUS;7616;As;Sesto Rimembranze - Milano Bignami M5;Canonico;7.80;27;9.23535529377217;45.5289655367951;"(45.5289655367951, 9.23535529377217)"
713;BUS;7621;Di;Milano Bignami M5 - Sesto Rimembranze;Canonico;7.64;22;9.23505027257075;45.528613166283;"(45.528613166283, 9.23505027257075)"
727;BUS;12198;Di;Stz Cormano FN - Sesto S.G. (1 Maggio);Canonico;9.19;23;9.20996292297927;45.5503049098491;"(45.5503049098491, 9.20996292297927)"
727;BUS;9175;As;Sesto S.G.(1 Maggio) - Stz Cormano FN;Canonico;9.39;23;9.20846243256709;45.5510237715827;"(45.5510237715827, 9.20846243256709)"
727;BUS;9177;As;Sesto S.G.(1 Maggio) - Stz Cormano Fn ( solo domenica isola pedonale);Barrato;9.35;21;9.20896959703742;45.5507929450491;"(45.5507929450491, 9.20896959703742)"
728;BUS;6252;As;Milano (Stz Centrale) - Cusano M. (Unione);Barrato;16.83;33;9.20963559169048;45.5378675126228;"(45.5378675126228, 9.20963559169048)"
728;BUS;7607;Di;Cusano M. (Unione) - Bignami M5;Canonico;10.78;25;9.21156341220902;45.5523145085146;"(45.5523145085146, 9.21156341220902)"
728;BUS;7608;As;Bignami M5 - Cusano M. (Unione);Canonico;11.52;26;9.21186314159256;45.5526093030441;"(45.5526093030441, 9.21186314159256)"
729;BUS;10109;As;Sesto S.G. - Comasina M3;Canonico;10.34;23;9.19351025556567;45.5459150864133;"(45.5459150864133, 9.19351025556567)"
729;BUS;322;Di;Comasina M3 - Sesto S.G.;Canonico;9.35;26;9.19604994206098;45.5467177112307;"(45.5467177112307, 9.19604994206098)"
729;BUS;5843;As;Sesto S.G. - Cusano M.;Barrato;5.78;16;9.21328383032625;45.5498221379091;"(45.5498221379091, 9.21328383032625)"
729;BUS;5844;Di;Cusano M. - Sesto S.G.;Barrato;5.31;16;9.21612901600662;45.5495051442598;"(45.5495051442598, 9.21612901600662)"
73;BUS;10116;Di;Duomo M1 M3 - Peschiera B. (trans. IBM);Barrato;15.54;34;9.26532947969592;45.4658691792388;"(45.4658691792388, 9.26532947969592)"
73;BUS;10117;Di;Duomo M1 M3 - Peschiera B.;Barrato;15.34;33;9.26479527180974;45.4658169222129;"(45.4658169222129, 9.26479527180974)"
74;BUS;11353;As;Famagosta M2 - Cantore;Canonico;7.25;28;9.15831122842563;45.4392773954677;"(45.4392773954677, 9.15831122842563)"
74;BUS;11424;Di;Cantore - Famagosta M2;Canonico;7.77;26;9.15901293049664;45.4387416568453;"(45.4387416568453, 9.15901293049664)"
75;BUS;5492;As;C.na Gobba M2 - Pitteri;Canonico;7.55;21;9.2436300972407;45.4924037613063;"(45.4924037613063, 9.2436300972407)"
76;BUS;12245;As;Madonna della Provvidenza - Bisceglie M1;Canonico;9.23;22;9.09217523589568;45.4623401689943;"(45.4623401689943, 9.09217523589568)"
76;BUS;12248;Di;Bisceglie M1 - Madonna della Provvidenza;Canonico;8.44;19;9.09323478246756;45.4615089064497;"(45.4615089064497, 9.09323478246756)"
77;BUS;9439;As;Poasco - P.le Lodi;Canonico;7.44;20;9.22664947076547;45.4251639073473;"(45.4251639073473, 9.22664947076547)"
77;BUS;9443;Di;P.le Lodi - Poasco;Canonico;7.43;20;9.22599261513546;45.425782906344;"(45.425782906344, 9.22599261513546)"
78;BUS;10491;As;Govone - Bisceglie M1;Canonico;14.89;42;9.12410989169759;45.4714094398565;"(45.4714094398565, 9.12410989169759)"
78;BUS;10492;Di;Bisceglie M1 - Govone;Canonico;12.82;43;9.13072933726201;45.4782799926333;"(45.4782799926333, 9.13072933726201)"
783;BUS;8332;As;Milano Bicocca M5 - Bresso (Don Minzoni);Canonico;4.25;9;9.19987087610293;45.5308748351212;"(45.5308748351212, 9.19987087610293)"
783;BUS;9778;Di;Bresso Don Minzoni - Milano Bicocca M5;Canonico;4.66;10;9.19817566588744;45.5316332297778;"(45.5316332297778, 9.19817566588744)"
79;BUS;4243;Di;Abbiategrasso - Gratosoglio (trans. Basmetto);Barrato;5.67;16;9.16877582828637;45.4169429640911;"(45.4169429640911, 9.16877582828637)"
79;BUS;9923;As;Gratosoglio - Abbiategrasso;Barrato;5.87;18;9.16922123211234;45.417829629083;"(45.417829629083, 9.16922123211234)"
80;BUS;10304;As;Q.to Romano - De Angeli M1;Barrato;6.69;22;9.11620272805224;45.4731727860203;"(45.4731727860203, 9.11620272805224)"
80;BUS;10306;As;Molino Dorino M1 - De Angeli M1;Canonico;12.32;27;9.10122756614006;45.4828284008363;"(45.4828284008363, 9.10122756614006)"
80;BUS;8119;Di;De Angeli M1 - Q.to Romano;Barrato;6.13;20;9.11729457245647;45.4732179465647;"(45.4732179465647, 9.11729457245647)"
80;BUS;9309;Di;De Angeli M1 - Molino Dorino M1;Canonico;11.99;28;9.10071094475556;45.4828100804614;"(45.4828100804614, 9.10071094475556)"
81;BUS;10006;Di;Stz. Lambrate - Sesto Marelli;Canonico;9.50;33;9.21544726547211;45.4961754294897;"(45.4961754294897, 9.21544726547211)"
81;BUS;10007;Di;Lambrate - Centrale (corse notturne);Barrato;4.00;16;9.2177647092752;45.4838896430325;"(45.4838896430325, 9.2177647092752)"
81;BUS;6201;As;Sesto Marelli - Stz. Lambrate;Canonico;9.56;33;9.21543118119272;45.4960320910446;"(45.4960320910446, 9.21543118119272)"
81;BUS;6203;As;Centrale - Lambrate (corse notturne);Barrato;4.00;17;9.21860208408175;45.483775224096;"(45.483775224096, 9.21860208408175)"
82;BUS;12963;Di;Zara M3 M5 - Q.re Bovisasca;Canonico;9.14;28;9.16728163511225;45.5066329659199;"(45.5066329659199, 9.16728163511225)"
82;BUS;9212;As;Q.re Bovisasca - Zara M3 M5;Canonico;7.10;23;9.17073035901391;45.5044256827959;"(45.5044256827959, 9.17073035901391)"
83;BUS;5795;As;Niguarda ( Parco Nord ) - Comasina M3 ( transita Don Minzoni);Barrato;8.51;23;9.18230591377483;45.5370226867047;"(45.5370226867047, 9.18230591377483)"
83;BUS;5804;As;Niguarda ( Parco Nord ) - Comasina M3 ( transita Don Minzoni);Barrato;8.05;22;9.18328858427212;45.5375051055451;"(45.5375051055451, 9.18328858427212)"
83;BUS;5812;Di;Comasina M3 - Niguarda ( Parco Nord );Barrato;5.63;13;9.18008267023076;45.536304548115;"(45.536304548115, 9.18008267023076)"
83;BUS;6736;As;C Granda - Comasina M3;Canonico;9.04;23;9.18179609419403;45.5293873664568;"(45.5293873664568, 9.18179609419403)"
83;BUS;6737;As;C Granda - Comasina M3 ( transita Bresso Minzoni);Canonico;11.10;29;9.18417487138622;45.5317743156071;"(45.5317743156071, 9.18417487138622)"
83;BUS;6740;Di;Comasina M3 - C Granda;Canonico;8.26;22;9.18353981835003;45.5292261671978;"(45.5292261671978, 9.18353981835003)"
84;BUS;10123;As;S. Donato M3 - Augusto;Canonico;9.91;30;9.22997926872356;45.4421382239086;"(45.4421382239086, 9.22997926872356)"
84;BUS;10124;As;Martini - Augusto;Barrato;4.48;15;9.21375544115951;45.4547146823284;"(45.4547146823284, 9.21375544115951)"
84;BUS;9692;Di;Augusto - S. Donato M3;Canonico;11.43;34;9.23291525283266;45.4401257640993;"(45.4401257640993, 9.23291525283266)"
84;BUS;9693;Di;Augusto - Martini;Barrato;4.74;17;9.21561657759482;45.452194964189;"(45.452194964189, 9.21561657759482)"
86;BUS;7225;As;Cna Gobba M2 - Ca' Granda M5;Canonico;8.76;29;9.22888560328698;45.5116891811505;"(45.5116891811505, 9.22888560328698)"
86;BUS;7227;Di;Ca' Granda M5 - Cna Gobba M2;Canonico;8.52;29;9.22902278900176;45.5115687284423;"(45.5115687284423, 9.22902278900176)"
87;BUS;8758;As;Villa San Giovanni M1 - Stz Centrale;Canonico;7.69;24;9.21553937751278;45.5092628615121;"(45.5092628615121, 9.21553937751278)"
87;BUS;8806;Di;Stz Centrale - Villa san Giovanni M1;Canonico;7.57;21;9.21558368196573;45.5086287602145;"(45.5086287602145, 9.21558368196573)"
88;BUS;5084;As;Rogoredo FS M3 - Ungheria;Canonico;2.18;7;9.24301479004939;45.4387747104818;"(45.4387747104818, 9.24301479004939)"
88;BUS;5085;Di;Ungheria - Rogoredo FS M3;Canonico;2.40;8;9.24418844274878;45.4405531649065;"(45.4405531649065, 9.24418844274878)"
88;BUS;8655;Di;Aviazione - Rogoredo FS M3;Barrato;4.87;14;9.24983543126868;45.4469099681401;"(45.4469099681401, 9.24983543126868)"
89;BUS;6796;As;Novate Milanese - Ciccotti;Canonico;4.74;11;9.1486520809344;45.5302660619265;"(45.5302660619265, 9.1486520809344)"
