_id;anno_rilevamento_reato;Reati_denunciati_tipologia;reati_denunciati
583;2010;Furti  con destrezza;16219
584;2010;Furti  in abitazioni;6168
585;2010;Furti  in esercizi commerciali;5950
586;2010;Furti  in auto in sosta;14739
587;2010;Furti  di opere d'arte e materiale archeologico;28
588;2010;Furti di automezzi pesanti trasportanti merci;67
589;2010;Furti di ciclomotori;1904
590;2010;Furti di motocicli;3320
591;2010;Furti di autovetture;8416
592;2010;Rapine totale;2576
593;2010;Rapine in abitazione;101
594;2010;Rapine in banca;100
595;2010;Rapine in uffici postali;1
596;2010;Rapine in esercizi commerciali;375
597;2010;Rapine in pubblica via;1460
598;2010;Estorsioni ;221
599;2010;Truffe e frodi informatiche ;3815
600;2010;Delitti informatici;245
601;2010;Contraffazione di marchi e prodotti industriali;243
602;2010;Violazione della proprieta' intellettuale;31
603;2010;Ricettazione ;1171
604;2010;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;34
605;2010;Usura ;8
606;2010;Danneggiamenti ;24153
607;2010;Incendi totale;141
608;2010;Incendi boschivi;0
609;2010;Danneggiamento seguito da incendio ;118
610;2010;Normativa sugli stupefacenti ;1521
611;2010;Attentati ;15
612;2010;Associazione per delinquere ;17
613;2010;Associazione di tipo mafioso ;0
614;2010;Contrabbando;3
615;2010;Altri delitti;20580
616;2010;Reati totale;150858
617;2009;Strage ;3
618;2009;Omicidi volontari totale;22
619;2009;Omicidi a scopo di furto o rapina;0
620;2009;Omicidi di tipo mafioso;1
621;2009;Omicidi a scopo terroristico;0
622;2009;Tentati omicidi ;53
623;2009;Infanticidi;0
624;2009;Omicidi preterintenzionali ;0
625;2009;Omicidi colposi totale;30
626;2009;Omicidi colposi  da incidente stradale;21
627;2009;Percosse ;553
628;2009;Lesioni dolose ;2443
629;2009;Minacce ;2333
630;2009;Sequestri di persona ;68
631;2009;Ingiurie ;1442
632;2009;Violenze sessuali ;315
633;2009;Atti sessuali con minorenne ;23
634;2009;Corruzione di minorenne ;3
