id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
958;FAMAGOSTA;2;9.16801260788702;45.4368950010424;"(45.4368950010424, 9.16801260788702)"
959;DUOMO M3;3;9.18861101005321;45.4639037177269;"(45.4639037177269, 9.18861101005321)"
960;DUOMO M1;1;9.18959606423541;45.4646220564055;"(45.4646220564055, 9.18959606423541)"
961;DOMODOSSOLA;5;9.16226040292663;45.4816190261305;"(45.4816190261305, 9.16226040292663)"
962;DERGANO;3;9.17960310789147;45.5055370010355;"(45.5055370010355, 9.17960310789147)"
963;DE ANGELI;1;9.14956580789839;45.4664306010411;"(45.4664306010411, 9.14956580789839)"
964;CROCETTA;3;9.19510340787869;45.4565508010387;"(45.4565508010387, 9.19510340787869)"
965;CRESCENZAGO;2;9.24819330786372;45.5052544010305;"(45.5052544010305, 9.24819330786372)"
966;CORVETTO;3;9.22346950786509;45.4404109010381;"(45.4404109010381, 9.22346950786509)"
967;CORDUSIO;1;9.18623540788346;45.4655319010385;"(45.4655319010385, 9.18623540788346)"
968;CONCILIAZIONE;1;9.1664870078917;45.4675341010398;"(45.4675341010398, 9.1664870078917)"
969;COMASINA;3;9.16372910790089;45.5281326010346;"(45.5281326010346, 9.16372910790089)"
970;COLOGNO SUD;2;9.27492710785491;45.5202131010273;"(45.5202131010273, 9.27492710785491)"
971;COLOGNO NORD;2;9.29109410785026;45.5343028010249;"(45.5343028010249, 9.29109410785026)"
972;COLOGNO CENTRO;2;9.28296420785263;45.5274782010261;"(45.5274782010261, 9.28296420785263)"
973;CIMIANO;2;9.24142570786576;45.5000415010315;"(45.5000415010315, 9.24142570786576)"
974;CERNUSCO SUL NAVIGLIO;2;9.33137771302972;45.5210690112066;"(45.5210690112066, 9.33137771302972)"
975;CENTRALE FS;"2,3";9.20261280787936;45.4844397010357;"(45.4844397010357, 9.20261280787936)"
976;CENISIO;5;9.17194683918037;45.4874900006159;"(45.4874900006159, 9.17194683918037)"
977;CASSINA DE PECCHI;2;9.36312160213121;45.5218640337103;"(45.5218640337103, 9.36312160213121)"
978;CASCINA GOBBA;2;9.26051020785957;45.5114424010291;"(45.5114424010291, 9.26051020785957)"
979;CASCINA BURRONA;2;9.29783542421094;45.5173643568948;"(45.5173643568948, 9.29783542421094)"
980;CASCINA ANTONIETTA;2;9.42350019149016;45.5420794775569;"(45.5420794775569, 9.42350019149016)"
981;CAIROLI;1;9.18202500788554;45.4683672010386;"(45.4683672010386, 9.18202500788554)"
982;CAIAZZO;2;9.20940940787674;45.4853182010351;"(45.4853182010351, 9.20940940787674)"
983;CA GRANDA;5;9.201110307883;45.5072425010338;"(45.5072425010338, 9.201110307883)"
984;CADORNA FN M2;2;9.1771024078875;45.468155101039;"(45.468155101039, 9.1771024078875)"
985;CADORNA FN M1;1;9.17642630788778;45.468195301039;"(45.468195301039, 9.17642630788778)"
986;BUSSERO;2;9.37589692165838;45.5253016625526;"(45.5253016625526, 9.37589692165838)"
987;BUONARROTI;1;9.15529230789661;45.4704020010403;"(45.4704020010403, 9.15529230789661)"
988;BRENTA;3;9.21848140786742;45.4428107010382;"(45.4428107010382, 9.21848140786742)"
989;BONOLA;1;9.11014780791838;45.4970026010412;"(45.4970026010412, 9.11014780791838)"
990;BISCEGLIE;1;9.11292550791172;45.4553804010448;"(45.4553804010448, 9.11292550791172)"
991;BIGNAMI;5;9.21218050788114;45.5267842010312;"(45.5267842010312, 9.21218050788114)"
992;BICOCCA;5;9.20536990788228;45.5147339010328;"(45.5147339010328, 9.20536990788228)"
993;BANDE NERE;1;9.13648450790302;45.4615040010425;"(45.4615040010425, 9.13648450790302)"
994;ASSAGO MILANOFIORI NORD;2;9.15004630789063;45.4094545010461;"(45.4094545010461, 9.15004630789063)"
995;ASSAGO MILANOFIORI FORUM;2;9.14553880789143;45.4017485010472;"(45.4017485010472, 9.14553880789143)"
996;AMENDOLA;1;9.15096930789879;45.4736789010404;"(45.4736789010404, 9.15096930789879)"
997;AFFORI FN;3;9.1682516078982;45.5216818010349;"(45.5216818010349, 9.1682516078982)"
998;AFFORI CENTRO;3;9.1739799078948;45.5135543010351;"(45.5135543010351, 9.1739799078948)"
999;ABBIATEGRASSO;2;9.17732280788234;45.4299949010423;"(45.4299949010423, 9.17732280788234)"
