_id;Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
8089;PE/28596;VIA TEODOSIO N. 19;SOMMINISTRAZIONE - In piano;VIA TEODOSIO;19;2550;e - Bar gastronomici e simili|f - Bar caffè e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;141;20131;22;CITTA' STUDI;3;9,22973E+11;4,54839E+11;45.4838745032 / 9.22972822569
8090;PE/28621;VIALE CERTOSA N. 153 (z.d. 8);SOMMINISTRAZIONE - In piano;VIALE CERTOSA;153;7174;a - Ristorante, trattoria, osteria con cucina e simili;;30;20151;71;VILLAPIZZONE;8;9,13709E+11;4,54964E+11;45.4963967873 / 9.13709090554
8091;PE/28624;VIA SFORZA ASCANIO N. 9 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA SFORZA ASCANIO;9;5201;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;85;20136;6;TICINESE;5;9,17795E+11;4,54507E+11;45.4506596754 / 9.17795291797
8092;PE/28625;VIA RUCELLAI BERNARDO N. 38 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA RUCELLAI BERNARDO;38;2345;f - Bar caffè e simili;;29;20126;16;VLE MONZA;2;9,21824E+11;4,55116E+11;45.5116127121 / 9.21823743828
8093;PE/28217;VIA VESPUCCI AMERIGO N. 12 ingresso da v.le liberazione;SOMMINISTRAZIONE - In piano;VIA VESPUCCI AMERIGO;12;1107;f - Bar caffè e simili;;96;20124;9;GARIBALDI REPUBBLICA;9;9,193E+11;4,54815E+11;45.4815329609 / 9.19300423694
8094;PE/28229;VIA IMBRIANI (DEGLI) N. 16;SOMMINISTRAZIONE - In piano;VIA IMBRIANI (DEGLI);16;1266;f - Bar caffè e simili;;33;20158;77;BOVISA;9;9,16988E+14;4,54985E+14;45.4985193564316 / 9.16987605158611
8095;PE/28230;VIALE CONI ZUGNA N. 14;SOMMINISTRAZIONE - In piano;VIALE CONI ZUGNA;14;5110;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;29;20144;51;WASHINGTON;7;9,1653E+11;4,54597E+11;45.4596934761 / 9.16529903545
8096;PE/28231;VIA PETROCCHI POLICARPO N. 2 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA PETROCCHI POLICARPO;2;2320;e - Bar gastronomici e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;21;20127;19;PADOVA;2;92217695827;4,55021E+11;45.5020636627 / 9.2217695827
8097;PE/28233;VIA VENIERO SEBASTIANO N. 2 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA VENIERO SEBASTIANO;2;6423;a - Ristorante, trattoria, osteria con cucina e simili;;54;20148;58;DE ANGELI - MONTE ROSA;8;9,14759E+11;4,54831E+11;45.4830751892 / 9.14758792167
8098;PE/28234;VIA VENIERO SEBASTIANO N. 2 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA VENIERO SEBASTIANO;2;6423;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;16;20148;58;DE ANGELI - MONTE ROSA;8;9,14759E+11;4,54831E+11;45.4830751892 / 9.14758792167
8099;PE/28236;VIALE MONZA N. 23 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE MONZA;23;2274;a - Ristorante, trattoria, osteria con cucina e simili;;52;20127;20;LORETO;2;9,21727E+11;4,54887E+11;45.4887364556 / 9.21726927055
8100;PE/28237;VIALE DORIA ANDREA N. 44 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE DORIA ANDREA;44;2230;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;36;20124;21;BUENOS AIRES - VENEZIA;3;9,21412E+11;4,54857E+11;45.4857318437 / 9.21412391958
8101;PE/28239;VIA BREDA ERNESTO N. 48 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA BREDA ERNESTO;48;2342;a - Ristorante, trattoria, osteria con cucina e simili;;71;20126;16;VLE MONZA;2;9,21547E+11;4,55114E+11;45.5114152637 / 9.21546544203
8102;PE/28240;VIA TURATI FILIPPO N. 26;SOMMINISTRAZIONE - In piano;VIA TURATI FILIPPO;26;1053;e - Bar gastronomici e simili;;59;20121;2;BRERA;1;9,19492E+11;4,5476E+11;45.4759806372 / 9.19491874533
8103;PE/28428;VIA CASATI FELICE N. 26 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA CASATI FELICE;26;2122;e - Bar gastronomici e simili;;40;20124;10;CENTRALE;2;9,20244E+14;4,54794E+14;45.4793570504683 / 9.20244323613004
8104;PE/28429;VIALE MARCHE N. 28 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE MARCHE;28;1360;c - Tavole calde,self service, fast food e simili|e - Bar gastronomici e simili|f - Bar caffè e simili;;49;20125;12;MACIACHINI - MAGGIOLINA;2;9197006516;45495085652;45.495085652 / 9.197006516
8105;PE/28430;VIALE MONTE GRAPPA N. 7 (z.d. 7);SOMMINISTRAZIONE - In piano;VIALE MONTE GRAPPA;7;1101;a - Ristorante, trattoria, osteria con cucina e simili|k - Stabilimenti balneari ed impianti sportivi;;135;20124;2;BRERA;1;9,1888E+11;4,54807E+11;45.4806806817 / 9.18879621187
8106;PE/28431;VIA PACINOTTI FRA' ANTONIO N. 4 (z.d. 4);SOMMINISTRAZIONE - In piano;VIA PACINOTTI FRA' ANTONIO;4;7259;a - Ristorante, trattoria, osteria con cucina e simili;;143;20155;71;VILLAPIZZONE;8;9,15117E+11;4,54921E+11;45.4921287996 / 9.15117237632
8107;PE/28432;PIAZZA TRE TORRI N. 1N02 unita' 1 - 1.86 bis (z.d. 8);SOMMINISTRAZIONE - In piano;PIAZZA TRE TORRI;;6934;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;28;20145;59;TRE TORRI;8;9,15507E+11;4,54779E+11;45.4779014702 / 9.15506559849
8108;PE/28435;VIA VENTURA GIOVANNI N. 1 con ingresso in via conte rosso 34;SOMMINISTRAZIONE - In piano;VIA VENTURA GIOVANNI;1;2668;a - Ristorante, trattoria, osteria con cucina e simili;;52;20134;23;LAMBRATE;3;9,24283E+11;4,54841E+11;45.4841261775 / 9.24282579102
